🧮  abacus
🪗  accordion
🩹  adhesive-bandage
☬  adi-shakti
🎟  admission-tickets
🚡  aerial-tramway
✈  airplane
🛬  airplane-arriving
🛫  airplane-departure
⚗  alembic
⛕  alternate-one-way-left-way-traffic
🚑  ambulance
🏈  american-football
🏺  amphora
🫀  anatomical-heart
⚓  anchor
💢  anger-symbol
😠  angry-face
😧  anguished-face
☥  ankh
🐜  ant
📶  antenna-with-bars
🔄  anticlockwise-downwards-and-upwards-open-circle-arrows
♒  aquarius
♈  aries
🚛  articulated-lorry
🎨  artist-palette
☊  ascending-node
😲  astonished-face
⛢  astronomical-symbol-for-uranus
👟  athletic-shoe
⚛  atom-symbol
🍆  aubergine
🛺  auto-rickshaw
🏧  automated-teller-machine
🚗  automobile
🥑  avocado
🪓  axe
🍼  baby-bottle
🐤  baby-chick
🚼  baby-symbol
🖂  back-of-envelope
➫  back-tilted-shadowed-white-rightwards-arrow
🔙  back-with-leftwards-arrow-above
🥓  bacon
🐫  bactrian-camel
🦡  badger
🏸  badminton-racquet-and-shuttlecock
🥯  bagel
🛄  baggage-claim
🥖  baguette-bread
🧶  ball-of-yarn
🩰  ballet-shoes
🎈  balloon
❉  balloon-spoked-asterisk
🗶  ballot-bold-script-x
☐  ballot-box
🗳  ballot-box-with-ballot
🗹  ballot-box-with-bold-check
🗷  ballot-box-with-bold-script-x
☑  ballot-box-with-check
🗵  ballot-box-with-script-x
☒  ballot-box-with-x
🗴  ballot-script-x
✗  ballot-x
🍌  banana
🪕  banjo
🏦  bank
💵  banknote-with-dollar-sign
💶  banknote-with-euro-sign
💷  banknote-with-pound-sign
💴  banknote-with-yen-sign
📊  bar-chart
🧼  bar-of-soap
💈  barber-pole
⚾  baseball
🧺  basket
🏀  basketball-and-hoop
🦇  bat
🛀  bath
🛁  bathtub
🔋  battery
🏖  beach-with-umbrella
🎜  beamed-ascending-musical-notes
🎝  beamed-descending-musical-notes
♫  beamed-eighth-notes
♬  beamed-sixteenth-notes
🫘  beans
🐻  bear-face
💓  beating-heart
🦫  beaver
🛏  bed
🍺  beer-mug
🪲  beetle
🔔  bell
🫑  bell-pepper
🔕  bell-with-cancellation-stroke
🛎  bellhop-bell
🍱  bento-box
🧃  beverage-box
🚲  bicycle
👙  bikini
🧢  billed-cap
🎱  billiards
☣  biohazard-sign
🎂  birthday-cake
🦬  bison
🫦  biting-lip
✬  black-centre-white-star
♝  black-chess-bishop
🨒  black-chess-bishop-rotated-ninety-degrees
🨼  black-chess-bishop-rotated-two-hundred-seventy-degrees
🩉  black-chess-equihopper
🩌  black-chess-equihopper-rotated-ninety-degrees
♚  black-chess-king
🨏  black-chess-king-rotated-ninety-degrees
🨹  black-chess-king-rotated-two-hundred-seventy-degrees
♞  black-chess-knight
🩓  black-chess-knight-bishop
🩑  black-chess-knight-queen
🩒  black-chess-knight-rook
🨇  black-chess-knight-rotated-forty-five-degrees
🨓  black-chess-knight-rotated-ninety-degrees
🨜  black-chess-knight-rotated-one-hundred-thirty-five-degrees
🩆  black-chess-knight-rotated-three-hundred-fifteen-degrees
🨽  black-chess-knight-rotated-two-hundred-seventy-degrees
🨱  black-chess-knight-rotated-two-hundred-twenty-five-degrees
♟  black-chess-pawn
🨔  black-chess-pawn-rotated-ninety-degrees
🨾  black-chess-pawn-rotated-two-hundred-seventy-degrees
♛  black-chess-queen
🨐  black-chess-queen-rotated-ninety-degrees
🨺  black-chess-queen-rotated-two-hundred-seventy-degrees
♜  black-chess-rook
🨑  black-chess-rook-rotated-ninety-degrees
🨻  black-chess-rook-rotated-two-hundred-seventy-degrees
🨧  black-chess-turned-bishop
🨤  black-chess-turned-king
🨨  black-chess-turned-knight
🨩  black-chess-turned-pawn
🨥  black-chess-turned-queen
🨦  black-chess-turned-rook
⚉  black-circle-with-two-white-dots
⚈  black-circle-with-white-dot-right
♣  black-club-suit
⛨  black-cross-on-shield
❖  black-diamond-minus-white-x
♦  black-diamond-suit
🖣  black-down-pointing-backhand-index
⛃  black-draughts-king
⛂  black-draughts-man
🌢  black-droplet
➶  black-feathered-north-east-arrow
➵  black-feathered-rightwards-arrow
➴  black-feathered-south-east-arrow
⚑  black-flag
✿  black-florette
🖿  black-folder
✦  black-four-pointed-star
🖪  black-hard-shell-floppy-disk
🖤  black-heart
♥  black-heart-suit
⛘  black-left-lane-merge
🖜  black-left-pointing-backhand-index
☚  black-left-pointing-index
⚸  black-moon-lilith
✒  black-nib
🏲  black-pennant
🖈  black-pushpin
❓  black-question-mark-ornament
🖝  black-right-pointing-backhand-index
☛  black-right-pointing-index
➡  black-rightwards-arrow
➤  black-rightwards-arrowhead
🏶  black-rosette
✀  black-safety-scissors
✂  black-scissors
☗  black-shogi-piece
🕱  black-skull-and-crossbones
☻  black-smiling-face
⛇  black-snowman
♠  black-spade-suit
🔲  black-square-button
★  black-star
☀  black-sun-with-rays
☎  black-telephone
🕿  black-touchtone-telephone
⛟  black-truck
⛖  black-two-way-left-way-traffic
♻  black-universal-recycling-symbol
🖢  black-up-pointing-backhand-index
🌼  blossom
🐡  blowfish
📘  blue-book
💙  blue-heart
🫐  blueberries
🐗  boar
💣  bomb
🕮  book
📑  bookmark-tabs
📚  books
🪃  boomerang
🍾  bottle-with-popping-cork
💐  bouquet
🎕  bouquet-of-flowers
🏹  bow-and-arrow
🕏  bowl-of-hygieia
🥣  bowl-with-spoon
🎳  bowling
🥊  boxing-glove
🛉  boys-symbol
🧠  brain
🍞  bread
🧱  brick
🌉  bridge-at-night
💼  briefcase
🩲  briefs
🥦  broccoli
💔  broken-heart
🧹  broom
🤎  brown-heart
