🧮  abacus
🪗  accordion
🩹  adhesive-bandage
☬  adi-shakti
🎟  admission-tickets
🚡  aerial-tramway
✈  airplane
🛬  airplane-arriving
🛫  airplane-departure
⚗  alembic
⛕  alternate-one-way-left-way-traffic
🚑  ambulance
🏈  american-football
🏺  amphora
⚓  anchor
☥  ankh
🐜  ant
♒  aquarius
♈  aries
🚛  articulated-lorry
🎨  artist-palette
☊  ascending-node
👟  athletic-shoe
🍆  aubergine
🛺  auto-rickshaw
🏧  automated-teller-machine
🚗  automobile
🥑  avocado
🪓  axe
🍼  baby-bottle
🐤  baby-chick
🖂  back-of-envelope
🥓  bacon
🐫  bactrian-camel
🦡  badger
🏸  badminton-racquet-and-shuttlecock
🥯  bagel
🛄  baggage-claim
🥖  baguette-bread
🧶  ball-of-yarn
🩰  ballet-shoes
🎈  balloon
🍌  banana
🪕  banjo
🏦  bank
🧼  bar-of-soap
💈  barber-pole
⚾  baseball
🧺  basket
🏀  basketball-and-hoop
🦇  bat
🛀  bath
🛁  bathtub
🔋  battery
🏖  beach-with-umbrella
🎜  beamed-ascending-musical-notes
🎝  beamed-descending-musical-notes
♫  beamed-eighth-notes
♬  beamed-sixteenth-notes
🫘  beans
💓  beating-heart
🦫  beaver
🛏  bed
🍺  beer-mug
🪲  beetle
🔔  bell
🫑  bell-pepper
🔕  bell-with-cancellation-stroke
🛎  bellhop-bell
🍱  bento-box
🧃  beverage-box
🚲  bicycle
👙  bikini
🧢  billed-cap
🎱  billiards
🎂  birthday-cake
🦬  bison
🫦  biting-lip
✬  black-centre-white-star
♝  black-chess-bishop
♚  black-chess-king
♞  black-chess-knight
🩓  black-chess-knight-bishop
🩑  black-chess-knight-queen
🩒  black-chess-knight-rook
♟  black-chess-pawn
♛  black-chess-queen
♜  black-chess-rook
⚉  black-circle-with-two-white-dots
⚈  black-circle-with-white-dot-right
♣  black-club-suit
⛨  black-cross-on-shield
❖  black-diamond-minus-white-x
♦  black-diamond-suit
⛃  black-draughts-king
⛂  black-draughts-man
🌢  black-droplet
⚑  black-flag
✿  black-florette
🖿  black-folder
✦  black-four-pointed-star
🖪  black-hard-shell-floppy-disk
🖤  black-heart
♥  black-heart-suit
⛘  black-left-lane-merge
☚  black-left-pointing-index
⚸  black-moon-lilith
✒  black-nib
🏲  black-pennant
🖈  black-pushpin
☛  black-right-pointing-index
🏶  black-rosette
✀  black-safety-scissors
✂  black-scissors
☗  black-shogi-piece
🕱  black-skull-and-crossbones
⛇  black-snowman
♠  black-spade-suit
★  black-star
☀  black-sun-with-rays
☎  black-telephone
🕿  black-touchtone-telephone
⛟  black-truck
⛖  black-two-way-left-way-traffic
🌼  blossom
🐡  blowfish
📘  blue-book
💙  blue-heart
🫐  blueberries
🐗  boar
💣  bomb
🕮  book
📚  books
🪃  boomerang
🍾  bottle-with-popping-cork
💐  bouquet
🎕  bouquet-of-flowers
🕏  bowl-of-hygieia
🥣  bowl-with-spoon
🎳  bowling
🥊  boxing-glove
🍞  bread
🧱  brick
🌉  bridge-at-night
💼  briefcase
🩲  briefs
🥦  broccoli
💔  broken-heart
🧹  broom
🤎  brown-heart
🧋  bubble-tea
🫧  bubbles
🪣  bucket
🐛  bug
🏗  building-construction
🕫  bullhorn
🕬  bullhorn-with-sound-waves
🌯  burrito
🚌  bus
🚏  bus-stop
🧈  butter
🦋  butterfly
🌵  cactus
☤  caduceus
📅  calendar
📷  camera
📸  camera-with-flash
🏕  camping
🗙  cancellation-x
♋  cancer
🕯  candle
🍬  candy
🥫  canned-food
🛶  canoe
♑  capricorn
⛐  car-sliding
🗃  card-file-box
📇  card-index
🗂  card-index-dividers
🎠  carousel-horse
🎏  carp-streamer
🪚  carpentry-saw
⛫  castle
🐈  cat
😹  cat-face-with-tears-of-joy
😼  cat-face-with-wry-smile
🕈  celtic-cross
⚳  ceres
⛓  chains
🪑  chair
📣  cheering-megaphone
🧀  cheese-wedge
🏁  chequered-flag
🍒  cherries
🌸  cherry-blossom
🌰  chestnut
☧  chi-rho
🐔  chicken
🐿  chipmunk
⚷  chiron
🍫  chocolate-bar
🎄  christmas-tree
⛪  church
🎦  cinema
🎪  circus-tent
🏙  cityscape
🌆  cityscape-at-dusk
🖁  clamshell-mobile-phone
🎬  clapper-board
🏛  classical-building
🍻  clinking-beer-mugs
🥂  clinking-glasses
📋  clipboard
📕  closed-book
📪  closed-mailbox-with-lowered-flag
📫  closed-mailbox-with-raised-flag
🌂  closed-umbrella
🌧  cloud-with-rain
🌨  cloud-with-snow
🌪  cloud-with-tornado
🧥  coat
🪳  cockroach
🍸  cocktail-glass
🥥  coconut
⚰  coffin
🪙  coin
☄  comet
🧭  compass
🗜  compression
🎊  confetti-ball
☌  conjunction
🎛  control-knobs
🏪  convenience-store
🍚  cooked-rice
🍪  cookie
🍳  cooking
🪸  coral
🛋  couch-and-lamp
🐄  cow
🦀  crab
💳  credit-card
🦗  cricket
🏏  cricket-bat-and-ball
🐊  crocodile
🥐  croissant
☩  cross-of-jerusalem
☨  cross-of-lorraine
🕂  cross-pommee
🕁  cross-pommee-with-half-circle-below
🎌  crossed-flags
⚔  crossed-swords
⛌  crossing-lanes
👑  crown
🔮  crystal-ball
🥒  cucumber
⛾  cup-on-black-square
🥤  cup-with-straw
🧁  cupcake
🥌  curling-stone
➰  curly-loop
🍛  curry-and-rice
🍮  custard
🛃  customs
🥩  cut-of-meat
🌀  cyclone
🗡  dagger-knife
🍡  dango
🕶  dark-sunglasses
🧏  deaf-person
🌳  deciduous-tree
🦌  deer
🚚  delivery-truck
🏬  department-store
🏚  derelict-house-building
☋  descending-node
